Vouchers from paper,Vouchers with 1 or more GenBank IDs,Vouchers with 0 GenBank IDs,Vouchers linked to the species studied,Vouchers linked to other species
NW77-16,PapHos,,VL02X159,
NW78-1,PM11-03,,VL05N131,
NW84-1,PO15002,,VL05Z994,
NW84-13,PR07002,,WMB1125-13,
NW84-5,RE07G203,,WMB1594-13,
NW95-1,REHU67.1,,WMB2453-13,
NW95-2,RPVL-00047,,WMB2771-13,
NW95-4,RPVL-00118,,WMB4615-14,
NW95-5,RV00Q028,,WMB490-11,
NW96-16,RV03H454,,WMB543-11,
OE-12,RV03-H595,,XM00001,
OE-27,RV06H852,,XM01002,
OE-29,RV08H435,,XM14004,
OE-48,RV08J370,,ZF-LY-000343,
PapHos,RVcoll.11-J514,,ZFLY2552,
PM11-03,RVcoll.12-N297,,ZK06001,
PO15002,Rvcoll.140711ZG95,,,
PR07002,RVcoll.14-G084,,,
RE04C201,RVcoll.14-O269,,,
RE07G166,RVcoll.LR08-D680,,,
RE07G203,RW80003,,,
RE07G218,SIMGT1-05,,,
REHU67.1,SKam1,,,
RPVL-00047,SPM029,,,
RPVL-00118,SPM031,,,
RV00Q028,SR089.01,,,
RV03H454,SS_2,,,
RV03H546,ST-2011-54CI,,,
RV03-H595,TheBet,,,
RV06A043,TLMF_Lep_02741,,,
RV06A259,TLMF_Lep_12599,,,
RV06A260,TS-12,,,
RV06H852,UASM_9900078,,,
RV06J002,UK1-24,,,
RV06J009,UK2-14,,,
RV06K682,UK2-2,,,
RV06K689,UK2-21,,,
RV06M907,UK2-23,,,
RV06V650,UK4-2,,,
RV06V700,UK4-3,,,
RV06V703,VL01B424,,,
RV07C087,VL01L152,,,
RV07C520,VL01L462,,,
RV07D138,VL02L518,,,
RV07D402,VL02X159,,,
RV07D404,VL03F903,,,
RV07D534,VL05N131,,,
RV07D788,VL05Z994,,,
RV07E080,WMB1125-13,,,
RV07E444,WMB1594-13,,,
RV07E474,WMB2453-13,,,
RV07E662,WMB2771-13,,,
RV07E671,WMB4615-14,,,
RV07E673,WMB490-11,,,
RV07F536,WMB543-11,,,
RV07W205,XM00001,,,
RV-07-Z083,XM01002,,,
RV08H299,XM14004,,,
RV08H435,ZF-LY-000343,,,
RV08H913,ZF-LY-002100,,,
RV08H962,ZFLY2552,,,
RV08H982,ZK06001,,,
RV08J370,,,,
RV08J472,,,,
RV08J988,,,,
RV08L009,,,,
RV08L140,,,,
RV08L259,,,,
RV08M309,,,,
RV08M378,,,,
RV08M437,,,,
RV08M455,,,,
RV08M549,,,,
RV08M567,,,,
RV08M576,,,,
RV08M586,,,,
RV08M616,,,,
RV08M655,,,,
RV08M794,,,,
RV08P034,,,,
RV08P504,,,,
RV08R184,,,,
RV08R208,,,,
RV08R494,,,,
RV09T179,,,,
RV09V415,,,,
RV10A098,,,,
RV10A203,,,,
RV10C243,,,,
RV11D924,,,,
RV11E157,,,,
RV11E512,,,,
RV12M706,,,,
RV12M906,,,,
RV12O113,,,,
RV12O525,,,,
RVcoll.11-J514,,,,
RVcoll.12-N297,,,,
Rvcoll.140711ZG95,,,,
RVcoll.14-G084,,,,
RVcoll.14-O269,,,,
RVcoll.LR08-D680,,,,
RVcoll16J867,,,,
RVLD415,,,,
RW80003,,,,
SatPru,,,,
SIMGT1-05,,,,
SKam1,,,,
SPM029,,,,
SPM031,,,,
SR089.01,,,,
SS_2,,,,
ST-2011-54CI,,,,
TheBet,,,,
TLMF_Lep_02741,,,,
TLMF_Lep_12599,,,,
TS-12,,,,
UASM_9900078,,,,
UK1-24,,,,
UK2-14,,,,
UK2-2,,,,
UK2-21,,,,
UK2-23,,,,
UK4-2,,,,
UK4-3,,,,
VL01B184,,,,
VL01B424,,,,
VL01L152,,,,
VL01L462,,,,
VL01Q138,,,,
VL02L518,,,,
VL02X159,,,,
VL03F903,,,,
VL05N131,,,,
VL05N271,,,,
VL05Z994,,,,
VNLEP00004,,,,
VNLEP00084,,,,
WMB1125-13,,,,
WMB1594-13,,,,
WMB2453-13,,,,
WMB2771-13,,,,
WMB4615-14,,,,
WMB490-11,,,,
WMB543-11,,,,
XM00001,,,,
XM01002,,,,
XM14004,,,,
ZF-LY-000343,,,,
ZF-LY-002100,,,,
ZFLY2552,,,,
ZK06001,,,,
