Species name,Full name,Family,Subfamily,Genus,Species,ID,Voucher,Dataset,COI-barcode,COI-3',nuclear,voucher_identical,ArgKin,CAD,DDC,EF-1a,GAPDH,H3,IDH,MDH,RpS2,RpS5,wingless,Remarks
Argynnis pandora,"Argynnis pandora ([Denis & Schiffermüller], 1775)",Nymphalidae,Heliconiinae,Argynnis,pandora,NW105-1,NW105-1,Heliconiinae_Limenitidinae,DQ922862,DQ922862,TRUE,TRUE,,,,DQ922894,KY773382,,,,,KY773486,DQ922830,
Argynnis paphia,"Argynnis paphia (Linnaeus, 1758)",Nymphalidae,Heliconiinae,Argynnis,paphia,NW76-12,NW76-12,Heliconiinae_Limenitidinae,AY090200,AY090200,TRUE,TRUE,MG741843,EU141343,MG741745,AY090166,EU141519,,EU141580,EU141644,EU141699,EU141421,AY090133,
Aricia agestis,"Aricia agestis ([Denis & Schiffermüller], 1775)",Lycaenidae,Polyommatinae,Aricia,agestis,NK00P712,NK00P712,Lycaenidae,AY496801,AY496801,TRUE,TRUE,,GQ128561,,AY496824,,GQ128735,,,,,GQ128843,
Aricia anteros,"Aricia anteros (Freyer, 1838)",Lycaenidae,Polyommatinae,Aricia,anteros,ILL_137,ILL_137,Lycaenidae,KF647244,,TRUE,FALSE,,,,KJ671880,,JX093317,,,,,JX093414,
Aricia artaxerxes,"Aricia artaxerxes (Fabricius, 1793)",Lycaenidae,Polyommatinae,Aricia,artaxerxes,AD02W127,AD02W127,Lycaenidae,JX093482,JX093482,TRUE,TRUE,,JX093255,,JX093308,,JX093318,,,,,JX093415,
Aricia cramera,"Aricia cramera (Eschscholtz, 1821)",Lycaenidae,Polyommatinae,Aricia,cramera,RVLD415,RVLD415,Lycaenidae,JX678036,,FALSE,#N/A,,,,,,,,,,,,
Aricia montensis,"Aricia montensis Verity, 1928",Lycaenidae,Polyommatinae,Aricia,montensis,RV08R208,RV08R208,Lycaenidae,JX678069,,FALSE,#N/A,,,,,,,,,,,,
Aricia morronensis,"Aricia morronensis (Ribbe, 1910)",Lycaenidae,Polyommatinae,Aricia,morronensis,RV08J988,RV08J988,Lycaenidae,JX678018,,FALSE,#N/A,,,,,,,,,,,,
Aricia nicias,"Aricia nicias (Meigen, 1829)",Lycaenidae,Polyommatinae,Aricia,nicias,AD03B041,AD03B041,Lycaenidae,GQ128992,GQ128992,TRUE,TRUE,,GQ128612,,GQ128681,,GQ128785,,,,,GQ128892,
Azanus jesous,"Azanus jesous (Guérin-Méneville, 1849)",Lycaenidae,Polyommatinae,Azanus,jesous,RV07D788,RV07D788,Lycaenidae,KP871115,,TRUE,FALSE,,,,KP053285,,,,,,,,
Azanus ubaldus,"Azanus ubaldus (Stoll, 1782)",Lycaenidae,Polyommatinae,Azanus,ubaldus,KS16001,KS16001,Lycaenidae,MN829476,MN829476,TRUE,TRUE,,,,MN829460,,,,,,,,
Boloria alaskensis,"Boloria alaskensis (Holland, 1900)",Nymphalidae,Heliconiinae,Boloria,alaskensis,FS-b-2453,FS-b-2453,Heliconiinae_Limenitidinae,HQ161227,HQ161227,TRUE,TRUE,,,,HQ161299,,,,,,,HQ161172,
Boloria angarensis,"Boloria angarensis (Erschoff, 1870)",Nymphalidae,Heliconiinae,Boloria,angarensis,NW151-7,NW151-7,Heliconiinae_Limenitidinae,HQ161283,HQ161283,TRUE,TRUE,,,,HQ161349,,,,,,,HQ161212,
Boloria aquilonaris,"Boloria aquilonaris (Stichel, 1908)",Nymphalidae,Heliconiinae,Boloria,aquilonaris,NW96-16,NW96-16,Heliconiinae_Limenitidinae,GQ864746,GQ864746,TRUE,TRUE,GQ864525,GQ864621,,GQ864840,GQ864936,,GQ865074,,GQ865301,GQ865404,GQ864434,
Boloria chariclea,"Boloria chariclea (Schneider, 1794)",Nymphalidae,Heliconiinae,Boloria,chariclea,FS-b-3723,FS-b-3723,Heliconiinae_Limenitidinae,HQ266650,HQ266650,TRUE,TRUE,,,,HQ266656,,,,,,,HQ266644,
Boloria dia,"Boloria dia (Linnaeus, 1767)",Nymphalidae,Heliconiinae,Boloria,dia,NW156-24,NW156-24,Heliconiinae_Limenitidinae,HQ161287,HQ161287,TRUE,TRUE,,,,HQ161353,,,,,,,HQ161216,
Boloria eunomia,"Boloria eunomia (Esper, 1800)",Nymphalidae,Heliconiinae,Boloria,eunomia,NW151-13,NW151-13,Heliconiinae_Limenitidinae,HQ161271,HQ161271,TRUE,TRUE,,,,HQ161337,,,,,,,HQ161202,
Boloria euphrosyne,"Boloria euphrosyne (Linnaeus, 1758)",Nymphalidae,Heliconiinae,Boloria,euphrosyne,NW156-23,NW156-23,Heliconiinae_Limenitidinae,HQ161286,HQ161286,TRUE,TRUE,,,,HQ161352,MN752789,,,,,MN752757,HQ161215,
Boloria freija,"Boloria freija (Thunberg, 1791)",Nymphalidae,Heliconiinae,Boloria,freija,FS-b-2405,FS-b-2405,Heliconiinae_Limenitidinae,HQ161224,HQ161224,TRUE,TRUE,,,,HQ161296,,,,,,,HQ161169,
Boloria frigga,"Boloria frigga (Thunberg, 1791)",Nymphalidae,Heliconiinae,Boloria,frigga,NW151-19,NW151-19,Heliconiinae_Limenitidinae,HQ161275,HQ161275,TRUE,TRUE,,,,HQ161341,,,,,,,HQ161204,
Boloria graeca,"Boloria graeca (Staudinger, 1870)",Nymphalidae,Heliconiinae,Boloria,graeca,FS-b-4220,FS-b-4220,Heliconiinae_Limenitidinae,HQ161252,HQ161252,TRUE,TRUE,,,,HQ161324,,,,,,,HQ161193,
Boloria improba,"Boloria improba (Butler, 1877)",Nymphalidae,Heliconiinae,Boloria,improba,FS-b-2401,FS-b-2401,Heliconiinae_Limenitidinae,HQ161221,HQ161221,TRUE,TRUE,,,,HQ161293,,,,,,,HQ161166,
Boloria napaea,"Boloria napaea (Hoffmansegg, 1804)",Nymphalidae,Heliconiinae,Boloria,napaea,FS-b-2465,FS-b-2465,Heliconiinae_Limenitidinae,HQ161230,HQ161230,TRUE,TRUE,,,,HQ161302,,,,,,,HQ161175,
Boloria oscarus,"Boloria oscarus (Eversmann, 1844)",Nymphalidae,Heliconiinae,Boloria,oscarus,NW151-24,NW151-24,Heliconiinae_Limenitidinae,HQ161279,HQ161279,TRUE,TRUE,,,,HQ161345,,,,,,,HQ161208,
Boloria pales,"Boloria pales ([Denis & Schiffermüller], 1775)",Nymphalidae,Heliconiinae,Boloria,pales,NW151-21,NW151-21,Heliconiinae_Limenitidinae,HQ161277,HQ161277,TRUE,TRUE,,,,HQ161343,,,,,,,HQ161206,
Boloria polaris,"Boloria polaris (Boisduval, 1828)",Nymphalidae,Heliconiinae,Boloria,polaris,FS-b-3725,FS-b-3725,Heliconiinae_Limenitidinae,HQ266652,HQ266652,TRUE,TRUE,,,,HQ266658,,,,,,,HQ266646,
Boloria selene,"Boloria selene ([Denis & Schiffermüller], 1775)",Nymphalidae,Heliconiinae,Boloria,selene,NW76-13,NW76-13,Heliconiinae_Limenitidinae,AY090201,AY090201,TRUE,TRUE,,,,AY090167,,,,,,MN752766,AY090134,
Boloria selenis,"Boloria selenis (Eversmann, 1837)",Nymphalidae,Heliconiinae,Boloria,selenis,LOWA106-06,2005-LOWA-106,Heliconiinae_Limenitidinae,FJ663375,,FALSE,#N/A,,,,,,,,,,,,
Boloria thore,"Boloria thore (Hübner, 1804)",Nymphalidae,Heliconiinae,Boloria,thore,NW151-22,NW151-22,Heliconiinae_Limenitidinae,HQ161278,HQ161278,TRUE,TRUE,,,,HQ161344,,,,,,,HQ161207,
Boloria titania,"Boloria titania (Esper, 1793)",Nymphalidae,Heliconiinae,Boloria,titania,FS-b-3797,FS-b-3797,Heliconiinae_Limenitidinae,HQ161245,HQ161245,TRUE,TRUE,,,,HQ161317,,,,,,,HQ161188,
Boloria tritonia,"Boloria tritonia (Böber, 1812)",Nymphalidae,Heliconiinae,Boloria,tritonia,NW151-8,NW151-8,Heliconiinae_Limenitidinae,HQ161284,HQ161284,TRUE,TRUE,,,,HQ161350,,,,,,,HQ161213,
Borbo borbonica,"Borbo borbonica (Boisduval, 1833)",Hesperiidae,Hesperiinae,Borbo,borbonica,BMAD030-09,CCDB-02225-C06,Hesperiinae,HM404207,,FALSE,#N/A,,,,,,,,,,,,
Brenthis daphne,"Brenthis daphne ([Denis & Schiffermüller], 1775)",Nymphalidae,Heliconiinae,Brenthis,daphne,TS-12,TS-12,Heliconiinae_Limenitidinae,DQ922848,DQ922848,TRUE,TRUE,,,,DQ922880,KY773429,,,,,KY773533,DQ922816,
Brenthis hecate,"Brenthis hecate ([Denis & Schiffermüller], 1775)",Nymphalidae,Heliconiinae,Brenthis,hecate,NW131-2,NW131-2,Heliconiinae_Limenitidinae,DQ922846,DQ922846,TRUE,TRUE,,,,DQ922878,KY773386,,,,,KY773491,DQ922814,
Brenthis ino,"Brenthis ino (Rottemburg, 1775)",Nymphalidae,Heliconiinae,Brenthis,ino,NW95-1,NW95-1,Heliconiinae_Limenitidinae,DQ922847,DQ922847,TRUE,TRUE,GQ864526,GQ864622,,DQ922879,KY773400,,,GQ865183,GQ865302,GQ865405,DQ922815,
Brintesia circe,"Brintesia circe (Fabricius, 1775)",Nymphalidae,Satyrinae,Brintesia,circe,CP-B01,CP-B01,Satyrinae2,DQ338865,DQ338865,TRUE,TRUE,EU141251,EU141291,,DQ339020,EU141474,,EU141527,EU141592,EU141656,EU141370,DQ338729,
Cacyreus marshalli,"Cacyreus marshalli Butler, 1898",Lycaenidae,Polyommatinae,Cacyreus,marshalli,AH95Y685,AH95Y685,Lycaenidae,EU919304,EU919304,TRUE,TRUE,,,,GQ128703,,,,,,,GQ128914,
Callophrys avis,"Callophrys avis Chapman, 1909",Lycaenidae,Theclinae,Callophrys,avis,kmbs-WtH018,kmbs-WtH018,Lycaenidae,FN601274,,FALSE,#N/A,,,,,,,,,,,,
Callophrys chalybeitincta,"Callophrys chalybeitincta Sovinsky, 1905",Lycaenidae,Theclinae,Callophrys,chalybeitincta,CalCha,ILL_084,Lycaenidae,JF810410,,FALSE,#N/A,,,,,,,,,,,,
