Species name,Full name,Family,Subfamily,Genus,Species,ID,Voucher,Dataset,COI-barcode,COI-3',nuclear,voucher_identical,ArgKin,CAD,DDC,EF-1a,GAPDH,H3,IDH,MDH,RpS2,RpS5,wingless,Remarks
Callophrys rubi,"Callophrys rubi (Linnaeus, 1758)",Lycaenidae,Theclinae,Callophrys,rubi,MW06110,MW06110,Lycaenidae,MN829477,,FALSE,#N/A,,,,,,,,,,,,
Callophrys suaveola,"Callophrys suaveola (Staudinger, 1881)",Lycaenidae,Theclinae,Callophrys,suaveola,kmbs-WtH061,kmbs-WtH061,Lycaenidae,FN601311,,FALSE,#N/A,,,,,,,,,,,,
Carcharodus alceae,"Carcharodus alceae (Esper, 1780)",Hesperiidae,Pyrginae,Carcharodus,alceae,640-ADW,RV07E662,Pyrginae,HQ004157,EU364380,TRUE,TRUE,KX947052,KY045551,,EU364175,,,KY027761,KY028011,KY028276,KY028527,EU363982,
Carcharodus baeticus,"Carcharodus baeticus (Rambur, 1839)",Hesperiidae,Pyrginae,Carcharodus,baeticus,Rvcoll.12-M706,RV12M706,Pyrginae,KP870838,,FALSE,#N/A,,,,,,,,,,,,
Carcharodus floccifera,"Carcharodus floccifera (Zeller, 1847)",Hesperiidae,Pyrginae,Carcharodus,floccifera,RV08M794,RV08M794,Pyrginae,HQ004168,,FALSE,#N/A,,,,,,,,,,,,
Carcharodus lavatherae,"Carcharodus lavatherae (Esper, 1783)",Hesperiidae,Pyrginae,Carcharodus,lavatherae,RV07E673,RV07E673,Pyrginae,HQ004176,,FALSE,#N/A,,,,,,,,,,,,
Carcharodus orientalis,"Carcharodus orientalis Reverdin, 1913",Hesperiidae,Pyrginae,Carcharodus,orientalis,RV08M437,RV08M437,Pyrginae,HQ004187,,FALSE,#N/A,,,,,,,,,,,,
Carcharodus stauderi,"Carcharodus stauderi Reverdin, 1913",Hesperiidae,Pyrginae,Carcharodus,stauderi,WMB1350-13,RVcoll.12-N297,Pyrginae,WMB1350-13,,FALSE,#N/A,,,,,,,,,,,,
Carcharodus tripolinus,"Carcharodus tripolinus (Verity, 1925)",Hesperiidae,Pyrginae,Carcharodus,tripolinus,RV06G506,RV08H982,Pyrginae,GU676920,,FALSE,#N/A,,,,,,,,,,,,
Carterocephalus palaemon,"Carterocephalus palaemon (Pallas, 1771)",Hesperiidae,Heteropterinae,Carterocephalus,palaemon,228-ADW,RV06K682,Hesperiinae,HQ004191,EU364388,TRUE,TRUE,KX947054,KY045552,,EU364183,KY027506,,KY027763,KY028013,,KY028529,EU363990,
Carterocephalus silvicola,"Carterocephalus silvicola (Meigen, 1829)",Hesperiidae,Heteropterinae,Carterocephalus,silvicola,MM00616,MM00616,Hesperiinae,JN204963,JN204963,TRUE,TRUE,,JN204936,,JN204979,,,JN205003,JN205021,,JN205030,JN204921,
Catopsilia florella,"Catopsilia florella (Fabricius, 1775)",Pieridae,Coliadinae,Catopsilia,florella,BMAD026-09,CCDB-02225-C02,Pieridae,HM404203,,TRUE,FALSE,,,,AY870569,,,,,,,,EF-1a substituted by C. pomona
Celastrina argiolus,"Celastrina argiolus (Linnaeus, 1758)",Lycaenidae,Polyommatinae,Celastrina,argiolus,RV08P034,RV08P034,Lycaenidae,JN827875,,TRUE,FALSE,,,,JX495376,,,,,,,,
Charaxes jasius,"Charaxes jasius (Linnaeus, 1767)",Nymphalidae,Charaxinae,Charaxes,jasius,NW78-3,NW147-3,Charaxinae,GQ256824,GQ256824,TRUE,FALSE,,EU152474,EU141449,GQ256950,,,EU141581,EU141645,GQ257052,GQ257152,GQ256703,"partly substituted (CAD, DDC, IDH, MDH) by Charaxes castor; COI sequence AY09021 of C. castor (voucher NW78-3) is 98.4% identical to European and 99.4% to African C. jasius; similarity of nuclear loci is between 98.7% (wingless) and 99.7% (EF-1a, RpS2, RpS5)"
Chazara briseis,"Chazara briseis (Linnaeus, 1764)",Nymphalidae,Satyrinae,Chazara,briseis,EW26-19,EW26-19,Satyrinae2,DQ338866,DQ338866,TRUE,TRUE,,,,DQ339021,GQ357502,,,,,GQ357628,DQ338730,
Chazara persephone,"Chazara persephone (Hübner, 1805)",Nymphalidae,Satyrinae,Chazara,persephone,IRANB272-08,VNLEP00084,Satyrinae2,IRANB272-08,,FALSE,#N/A,,,,,,,,,,,,
Chazara prieuri,"Chazara prieuri (Pierret, 1837)",Nymphalidae,Satyrinae,Chazara,prieuri,RV08J472,RV08J472,Satyrinae2,KP871166,,FALSE,#N/A,,,,,,,,,,,,
Cigaritis acamas,"Cigaritis acamas (Klug, 1834)",Lycaenidae,Aphnaeinae,Cigaritis,acamas,TBBUT1686-12,BC-TB9599,Lycaenidae,TBBUT1686-12,,FALSE,#N/A,,,,,,,,,,,,
Coenonympha amaryllis,"Coenonympha amaryllis (Stoll, 1782)",Nymphalidae,Satyrinae,Coenonympha,amaryllis,UK2-21,UK2-21,Satyrinae3,EU920743,EU920743,TRUE,TRUE,,,,EU920776,,,,,,,EU920806,
Coenonympha arcania,"Coenonympha arcania (Linnaeus, 1760)",Nymphalidae,Satyrinae,Coenonympha,arcania,EW7-6,EW7-6,Satyrinae3,EU920744,EU920744,TRUE,TRUE,,,,EU920777,,,,,,,EU920807,
Coenonympha corinna,"Coenonympha corinna (Hübner, 1804)",Nymphalidae,Satyrinae,Coenonympha,corinna,UK2-14,UK2-14,Satyrinae3,EU920745,EU920745,TRUE,TRUE,,,,EU920779,,,,,,,EU920809,
Coenonympha dorus,"Coenonympha dorus (Esper, 1782)",Nymphalidae,Satyrinae,Coenonympha,dorus,UK2-23,UK2-23,Satyrinae3,EU920746,EU920746,TRUE,TRUE,,,,EU920780,,,,,,,EU920810,
Coenonympha gardetta,"Coenonympha gardetta (Prunner, 1798)",Nymphalidae,Satyrinae,Coenonympha,gardetta,BC_ZSM_Lep_50420,BC_ZSM_Lep_50420,Satyrinae3,KP870381,,TRUE,FALSE,,,,EU920781,,,,,,,EU920811,
Coenonympha glycerion,"Coenonympha glycerion (Borkhausen, 1788)",Nymphalidae,Satyrinae,Coenonympha,glycerion,EW5-18,EW5-18,Satyrinae3,EU920749,EU920749,TRUE,TRUE,,,,EU920783,GQ892089,,,,,GQ892095,EU920812,
Coenonympha hero,"Coenonympha hero (Linnaeus, 1760)",Nymphalidae,Satyrinae,Coenonympha,hero,EW3-14,EW3-14,Satyrinae3,EU920750,EU920750,TRUE,TRUE,,,,EU920784,,,,,,,EU920813,
Coenonympha leander,"Coenonympha leander (Esper, 1784)",Nymphalidae,Satyrinae,Coenonympha,leander,UK2-2,UK2-2,Satyrinae3,EU920752,EU920752,TRUE,FALSE,,,,MN829461,,,,,,,,
Coenonympha oedippus,"Coenonympha oedippus (Fabricius, 1787)",Nymphalidae,Satyrinae,Coenonympha,oedippus,UK1-24,UK1-24,Satyrinae3,EU920755,EU920755,TRUE,TRUE,,,,EU920788,,,,,,GQ892096,EU920817,
Coenonympha orientalis,"Coenonympha orientalis Rebel, 1909",Nymphalidae,Satyrinae,Coenonympha,orientalis,JC08001,JC08001,Satyrinae3,MN829478,MN829478,TRUE,TRUE,,,,MN829462,,,,,,,,
Coenonympha pamphilus,"Coenonympha pamphilus (Linnaeus, 1758)",Nymphalidae,Satyrinae,Coenonympha,pamphilus,EW7-3,EW7-3,Satyrinae3,DQ338777,DQ338777,TRUE,TRUE,,,,DQ338920,EU528385,,,EU528340,,EU528428,DQ338637,
Coenonympha phryne,"Coenonympha phryne (Pallas, 1771)",Nymphalidae,Satyrinae,Coenonympha,phryne,CP16-21,CP16-21,Satyrinae3,EU920739,EU920739,TRUE,TRUE,,,,EU920773,GQ357397,,,,,GQ357526,EU920804,
Coenonympha rhodopensis,"Coenonympha rhodopensis Elwes, 1900",Nymphalidae,Satyrinae,Coenonympha,rhodopensis,UK4-3,UK4-3,Satyrinae3,EU920756,EU920756,TRUE,TRUE,,,,MN752741,,,,,,,EU920818,
Coenonympha thyrsis,"Coenonympha thyrsis (Freyer, 1845)",Nymphalidae,Satyrinae,Coenonympha,thyrsis,UK4-2,UK4-2,Satyrinae3,EU920761,EU920761,TRUE,TRUE,,,,EU920794,,,,,,,EU920822,
Coenonympha tullia,"Coenonympha tullia (Müller, 1764)",Nymphalidae,Satyrinae,Coenonympha,tullia,DNA2245,DNA2245,Satyrinae3,FJ808815,FJ808815,TRUE,FALSE,,,,AF173399,,,,,,KF721263,EU920824,
Colias alfacariensis,"Colias alfacariensis Ribbe, 1905",Pieridae,Coliadinae,Colias,alfacariensis,NW17797,NW17797,Pieridae,MN752703,MN752703,TRUE,TRUE,,MN752807,,MN752738,MN752797,,MN752772,MN752743,,MN752762,MN752846,
